algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.118,9603,8
MergeSort,random,10000,1.143,128297,11
MergeSort,random,100000,10.750,1646453,14
MergeSort,random,1000000,121.461,19969859,18
MergeSort,sorted,1000,0.005,999,8
MergeSort,sorted,10000,0.056,9999,11
MergeSort,sorted,100000,0.304,99999,14
MergeSort,sorted,1000000,4.433,999999,18
MergeSort,duplicates,1000,0.056,9285,8
MergeSort,duplicates,10000,0.583,122749,11
MergeSort,duplicates,100000,6.448,1569310,14
MergeSort,duplicates,1000000,62.506,19006499,18
QuickSort,random,1000,0.111,18295,7
QuickSort,random,10000,1.137,229547,9
QuickSort,random,100000,18.000,3167829,11
QuickSort,random,1000000,172.770,37926024,14
QuickSort,sorted,1000,0.060,19376,7
QuickSort,sorted,10000,0.708,240309,9
QuickSort,sorted,100000,9.186,3255496,11
QuickSort,sorted,1000000,108.946,36802055,14
QuickSort,duplicates,1000,0.021,6161,2
QuickSort,duplicates,10000,0.216,58004,2
QuickSort,duplicates,100000,2.558,510803,3
QuickSort,duplicates,1000000,24.008,7395702,2
QuickSelect,random,1000,0.018,6168,0
QuickSelect,random,10000,0.147,39776,0
QuickSelect,random,100000,2.027,564419,0
QuickSelect,random,1000000,18.020,6947525,0
QuickSelect,sorted,1000,0.015,6116,0
QuickSelect,sorted,10000,0.073,30235,0
QuickSelect,sorted,100000,0.528,337864,0
QuickSelect,sorted,1000000,9.751,5437941,0
QuickSelect,duplicates,1000,0.019,3790,0
QuickSelect,duplicates,10000,0.159,41535,0
QuickSelect,duplicates,100000,1.112,339383,0
QuickSelect,duplicates,1000000,12.057,2900485,0
